Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
GAP,"The Gap, Inc.",,22.47 +2.99 (+15.32%),2.99,+15.32%,19.291M,5.276M,8.472B,10.21,-6.88%,
RGTI,"Rigetti Computing, Inc.",,9.45 +0.94 (+11.10%),0.94,+11.10%,60.325M,149.234M,2.681B,-,329.80%,
HMY,Harmony Gold Mining Company Limited,,11.90 +1.05 (+9.72%),1.05,+9.72%,7.81M,6.629M,7.407B,13.08,51.96%,
ELF,"e.l.f. Beauty, Inc.",,70.43 +6.01 (+9.33%),6.01,+9.33%,2.351M,2.585M,3.972B,42.17,-67.94%,
CLSK,"CleanSpark, Inc.",,8.82 +0.67 (+8.21%),0.67,+8.21%,15.393M,26.553M,2.476B,-,-59.73%,
ZIM,ZIM Integrated Shipping Services Ltd.,,21.39 +1.61 (+8.17%),1.61,+8.17%,4.637M,5.349M,2.575B,1.79,79.89%,
AKRBF,Aker BP ASA,,21.00 +1.58 (+8.14%),1.58,+8.14%,25200,1825,13.255B,7.24,-18.65%,
AVGO,Broadcom Inc.,,194.29 +14.84 (+8.27%),14.84,+8.27%,53.665M,35.32M,913.538B,90.37,37.12%,
LUMN,"Lumen Technologies, Inc.",,5.43 +0.40 (+8.05%),0.4,+8.05%,7.341M,12.468M,5.51B,-,176.37%,
AVTR,"Avantor, Inc.",,17.43 +1.26 (+7.82%),1.26,+7.82%,12.537M,5.583M,11.872B,16.76,-36.93%,
BKRIF,Bank of Ireland Group plc,,13.15 +0.95 (+7.79%),0.95,+7.79%,49600,7871,13.169B,8.59,37.70%,
WBA,"Walgreens Boots Alliance, Inc.",,11.40 +0.80 (+7.59%),0.8,+7.59%,81.415M,27.265M,9.856B,-,-49.91%,
BILI,Bilibili Inc.,,23.96 +1.68 (+7.54%),1.68,+7.54%,7.984M,6.995M,10.258B,-,100.18%,
GT,The Goodyear Tire & Rubber Company,,9.65 +0.68 (+7.64%),0.68,+7.64%,4.758M,5.303M,2.751B,40.23,-26.84%,
BAH,Booz Allen Hamilton Holding Corporation,,116.27 +7.94 (+7.33%),7.94,+7.33%,2.394M,2.206M,14.725B,17.38,-26.38%,
SWKS,"Skyworks Solutions, Inc.",,71.75 +4.82 (+7.19%),4.82,+7.19%,2.772M,3.142M,11.532B,22.08,-37.05%,
DG,Dollar General Corporation,,81.55 +5.31 (+6.96%),5.31,+6.96%,3.923M,3.486M,17.935B,13.46,-51.54%,
MPW,"Medical Properties Trust, Inc.",,6.05 +0.39 (+6.99%),0.39,+6.99%,11.224M,13.532M,3.631B,-,35.17%,
CELH,"Celsius Holdings, Inc.",,27.15 +1.73 (+6.81%),1.73,+6.81%,4.317M,10.052M,6.384B,60.33,-71.40%,
CPB,The Campbell's Company,,42.49 +2.69 (+6.77%),2.69,+6.77%,3.979M,3.125M,12.668B,24.56,-5.82%,
CACI,CACI International Inc,,382.38 +23.42 (+6.52%),23.42,+6.52%,358819,438191,8.573B,17.94,-4.06%,
SAIC,Science Applications International Corporation,,108.97 +6.81 (+6.67%),6.81,+6.67%,643332,643428,5.327B,18.35,-27.84%,
NE,Noble Corporation plc,,24.55 +1.55 (+6.74%),1.55,+6.74%,2.748M,1.96M,3.908B,8.29,-47.72%,
MRNA,"Moderna, Inc.",,36.46 +2.16 (+6.30%),2.16,+6.30%,13.349M,11.359M,14.067B,-,-66.71%,
XPEV,XPeng Inc.,,23.61 +1.38 (+6.20%),1.38,+6.20%,8.848M,10.79M,22.3B,-,133.51%,
